cluster_uid,target,sources,n_sources,method
3f552c7b2ece,ACTB,APEX1;ATF2;ATF3;ATF4;ATF5;ATF6B;BCLAF1;BHLHE41;CEBPG;CIC;CREBZF;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ERF;ESRRA;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HEY1;HIF1A;HMGA1;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;JUND;KDM2A;KLF16;KLF6;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NFIL3;NONO;NR1D2;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SOX2;SREBF1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT3;STAT5B;TBL1XR1;TBPL1;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;XBP1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF189;ZNF219;ZNF692;ZNF76;ZSCAN18,106,exp03-coregnet
45108971776a,APOE,ATF3;BCL6;BHLHE40;CEBPB;CEBPD;DBP;DDIT3;EGR1;ELK1;ENO1;FEZF1;FOS;HES4;HES5;HMGA1;HMGB2;HSF1;HSF2;HSF4;ID2;ID4;JAZF1;JUN;JUNB;JUND;KDM5D;MAFF;MEF2D;MEIS3;MESP1;NFIL3;NR1D1;NR2F1;NR2F2;NR4A1;OTP;PEG3;RBFOX2;RFX4;RXRG;SIX3;SOX2;SOX9;SREBF2;TBPL1;TEF;UBP1;ZSCAN18,48,exp03-coregnet
08b93a17b418,APP,APEX1;ATF2;ATF6B;BCLAF1;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DBP;DMAP1;DRAP1;E2F4;E4F1;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HMGA1;HSF2;ING4;JAZF1;KDM2A;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MLX;MTA3;NCOA1;NCOR2;NFE2L1;NONO;NR1D2;OTP;PBX1;PBX2;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SMARCA1;SMARCA5;SND1;SREBF2;SSRP1;STAT1;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF189;ZSCAN18,74,exp03-coregnet
2b87cf3a3b44,BCL2L1,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBZF;CTBP1;CTNNB1;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ESRRA;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HEY1;HMGA1;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MEIS3;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NONO;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZFP90;ZGPAT;ZNF219;ZNF692;ZNF76;ZSCAN18,90,exp03-coregnet
abaf72f1d8ae,BMI1,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;BHLHE41;CEBPG;CIC;CREBL2;CREBZF;CTBP1;CTNNB1;DEAF1;DMAP1;DRAP1;E2F4;E4F1;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HES6;HIF1A;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;KDM2A;KLF13;KLF16;LDB1;LRRFIP1;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NFIX;NONO;NR1D2;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU3F3;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SREBF2;SSRP1;STAT1;STAT2;STAT5B;TBL1XR1;TBPL1;TEF;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZFP90;ZGPAT;ZNF189;ZNF219;ZNF692;ZNF76;ZSCAN18,94,exp03-coregnet
a650a9f0cb60,CCND3,APEX1;ATF2;ATF4;ATF5;ATF6B;BCLAF1;CEBPG;CIC;CREBZF;CTBP1;CTNNB1;DDIT3;DEAF1;DMAP1;DRAP1;E2F4;E4F1;ENO1;ESRRA;EWSR1;FEZF1;FOXJ3;GTF2F1;HDAC3;HEY1;HIF1A;HMGB2;HSF1;HSF2;HTATIP2;ING4;IRF9;JAZF1;JUND;KDM2A;KLF16;KLF6;LDB1;LRRFIP1;MAFG;MAZ;MBD1;MEF2D;MLX;MTA3;MZF1;NCOA1;NCOR2;NFE2L1;NFE2L2;NONO;NR1D2;NR2F6;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;POU6F1;RBFOX2;RFX5;RXRB;RXRG;SF1;SFPQ;SKI;SMARCA1;SMARCA5;SND1;SREBF2;SRF;SSRP1;STAT1;STAT2;STAT3;STAT5B;TBL1XR1;TBPL1;TERF2;TFCP2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB18;ZBTB4;ZBTB7A;ZFP90;ZGPAT;ZNF219;ZNF692;ZNF76;ZSCAN18,96,exp03-coregnet
3d9cb3485e48,CD14,ARID5A;ATF3;BCL6;CEBPB;CEBPD;EGR1;FEZF1;FOS;FOSL2;FOXJ1;HES5;HMGA1;HSF2;JAZF1;KDM5D;MAFF;MEIS3;NFIL3;OTP;PEG3;RBFOX2;SIX3;SMARCA1;STAT1;XBP1,25,exp03-coregnet
cec0a16873b2,CDKN1A,ARID5A;ATF3;BCL6;BHLHE40;CEBPB;CEBPD;EGR1;FOS;FOSL2;HES5;JUN;JUNB;KDM5D;MAFF;NFIL3;OTP;XBP1,17,exp03-coregnet
58f1b638a128,CDKN1C,FEZF1;FOXJ1;HES5;KDM5D;MYRF;NKX6-2;OTP;PEG3;SOX10;ZEB2,10,exp03-coregnet
9e0ff7a13976,CLU,APEX1;ATF2;ATF3;ATF4;ATF6B;BCL6;BCLAF1;BHLHE40;BHLHE41;CEBPB;CEBPG;CIC;CREBL2;CTBP1;DDIT3;DEAF1;E2F4;E4F1;ELK1;ENO1;EWSR1;FEZF1;FOSL2;FOXJ3;GTF2F1;HDAC3;HIF1A;HMGA1;HMGB2;HSF1;HSF2;ID2;ID4;ING4;IRF9;JAZF1;JUND;KDM2A;KLF16;LDB1;LRRFIP1;MAFG;MBD1;MEF2D;MLX;MTA3;NFE2L1;NFIL3;NONO;NR1D1;OTP;PBX1;PBX2;PBX3;PEG3;PHF1;RBFOX2;RFX4;RFX5;RXRB;RXRG;SALL2;SF1;SFPQ;SMARCA1;SND1;SOX2;SOX9;SREBF1;SREBF2;SSRP1;STAT1;STAT2;STAT3;STAT5B;TBPL1;TEF;TERF2;TFE3;THAP11;THRA;TRIM28;UBP1;USF1;ZBTB7A;ZGPAT;ZSCAN18,87,exp03-coregnet
